"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6569","Login test for User that causes performance issues","chromium","Fri Sep 26 00:11:43 IST 2025","broken","Fri Sep 26 00:11:50 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","2731","Login test for Locked out user","Mobile Safari","Fri Sep 26 00:11:58 IST 2025","passed","Fri Sep 26 00:12:00 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","6065","should show error when login without credentials","Mobile Safari","Fri Sep 26 00:11:48 IST 2025","broken","Fri Sep 26 00:11:54 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","6060","Login test for User that causes performance issues","Mobile Safari","Fri Sep 26 00:12:00 IST 2025","broken","Fri Sep 26 00:12:06 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","4821","should show error with invalid credentials","Mobile Safari","Fri Sep 26 00:11:50 IST 2025","passed","Fri Sep 26 00:11:55 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","2241","Login test for User with problem permissions","Mobile Safari","Fri Sep 26 00:11:56 IST 2025","passed","Fri Sep 26 00:11:58 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","6092","should login successfully with valid credentials","chromium","Fri Sep 26 00:11:38 IST 2025","broken","Fri Sep 26 00:11:44 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","4016","Login test for Locked out user","chromium","Fri Sep 26 00:11:38 IST 2025","passed","Fri Sep 26 00:11:42 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","3631","should show error with invalid credentials","chromium","Fri Sep 26 00:11:38 IST 2025","passed","Fri Sep 26 00:11:42 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","2131","Login test for User with problem permissions","chromium","Fri Sep 26 00:11:43 IST 2025","passed","Fri Sep 26 00:11:45 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","3687","should show error when login without credentials","chromium","Fri Sep 26 00:11:38 IST 2025","passed","Fri Sep 26 00:11:42 IST 2025","Login Tests","001_Login-Test.spec.js","",""
"","6048","should login successfully with valid credentials","Mobile Safari","Fri Sep 26 00:11:50 IST 2025","broken","Fri Sep 26 00:11:56 IST 2025","Login Tests","001_Login-Test.spec.js","",""
